name,combined_description
Мобильный банкир (юридические лица),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир,"Карьерный старт в финансовой сфере для тех, кто без опыта.

Предложение от банка только для сотрудников. Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных..."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального.  Готовность к разъездной работе.  Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту.  

Доставлять клиентам банковские продукты.  Подписывать документы с клиентами.  Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Территориальный руководитель по малому бизнесу,"Высшее образование. - Амбиции по достижению экстра результатов и карьерного роста. - Успешный опыт руководства группой команд. - Системный подход в управлении продажами. - 

Реализация политики Банка в области развития Малого бизнеса. - Организация процесса продаж продуктов Малого бизнеса. - Выполнение всеми каналами годовых/ежемесячных планов. - "
Руководитель направления по развитию премиального сегмента,"Опыт активных продаж премиум сегмента (от 2 лет). Высшее экономическое образование. Наставничество / коучинг / очное обучение (проведение тренингов) (от 1 года). 

Планировать и организовывать работу по продуктовому обучению ВИП-менеджеров через дистанционные курсы и учебные пособия согласно стандартам адаптации или поставленной..."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального.  Готовность к разъездной работе.  Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту.  

Доставлять клиентам банковские продукты.  Подписывать документы с клиентами.  Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир без поиска клиентов,"Образование не ниже среднего специального.  Готовность к разъездной работе.  Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту.  

Доставлять клиентам банковские продукты.  Подписывать документы с клиентами.  Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Представитель банка (без поиска клиентов),"Образование не ниже среднего специального.  Готовность к разъездной работе.  Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту.  

Доставлять клиентам банковские продукты.  Подписывать документы с клиентами.  Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Представитель банка без поиска клиентов,"Образование не ниже среднего специального.  Готовность к разъездной работе.  Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту.  

Доставлять клиентам банковские продукты.  Подписывать документы с клиентами.  Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Старший менеджер по продажам продуктов банка (B2B),"Получили высшее образование или близки к этому.

Привлекаем клиентов малого бизнеса на закреплённой территории. Проводим деловые встречи с первыми лицам компаний. Звоним и назначаем встречи потенциальным клиентам. "
