name,combined_description
Представитель Банка (доставка без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (доставка карт по готовым заявкам),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (без поиска клиентов),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Консультировать клиентов по выгодным предложениям и продуктам банка, помогать им подключить дополнительные..."
Представитель банка (Новая Москва),"Карьерный старт в финансовой сфере для тех, кто без опыта.

Предложение от банка только для сотрудников. Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных..."
Мобильный банкир,"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (доставка карт),"Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту.

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир,"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (доставка карт),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир,"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир,"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам банковские продукты. Подписывать документы с клиентами. Помогать в подборе продуктов банка, выгодных предложений и подключении услуг."
Мобильный банкир (физические лица),"Образование не ниже среднего специального. Готовность к разъездной работе. Развитые навыки коммуникации и умение найти индивидуальный подход к клиенту. 

Доставлять клиентам (физическим лицам) банковские продукты. Подписывать документы с клиентами. Доставлять торговые терминалы. Консультировать клиентов по выгодным предложениям и продуктам..."
